title,company,location,category,jobtype,salary,jd,avgsalary,mainloc,mainlocation
IT Helpdesk Support,MCSB Group,"BAYAN LEPAS, PENANG",Help Desk & IT Support (Information & Communication Technology),Contract/Temp,2200-3000,"Job Responsibilities:• Provide single point of contact in supporting and escalation of all incidents and requests to regional IT stakeholders and vendors• Provide day-to-day service level management and dispatch coordination, validate & analyze root cause issues to ensure all cases are managed, owned and resolved within the SLA time frame• Ensure that all escalation process is adhered to, appropriate parties are notified and involved and all escalations are logged, tracked and managed• Level 1.0 Application Support for Manufacturing, Quality, HR, ERP & IT systems• Level 1.5 Application Support for OTA & CAMSTAR system• Alert monitoring for Servers, Databases, Applications, Backups and Networks• Deployment of manual patches, software upgrades etc.• Vendor/ Supplier management for part handover, replacement and faulty repair• Access Management Job Requirements:Candidate must possess at least Certificate /Diploma (Computer/Telecommunication) or equivalentAbility to speak/read/write Mandarin is essential (Support China Region)3 or 4 days work weekly on rotating basisAble to work in a team and collaborate with other teams as and when neededBasic understanding of IT software installation, hardware troubleshooting, printer setup and network configurationActively willing to learn, hardworking, disciplined, and responsibleAble to multi-task and remain calm under tight schedulesFamiliar with manufacturing industries or 1 year IT helpdesk practical experience would be added advantageFresh graduates are more than welcome to apply",2600,PENANG,PENANG
IT SUPPORT EXECUTIVE,San Soon Seng Food Industries Sdn Bhd,SELANGOR,Help Desk & IT Support (Information & Communication Technology),Full time,3500-5000,"RequirementsApplicants must be willing to work in Kampung Baru Sungai Buloh.Candidate must possess at least Diploma/Advanced/Higher/Graduate Diploma in Computer Science/Information Technology or equivalent.Experience in ERP implementation, IT Networking, email configuration, firewall, active directory implementation, computer and network trouble shooting and others related to IT.Required language(s): Bahasa Malaysia, English, MandarinAt least 2 year(s) of working experience in the related field is required for this position.Preferably Junior Executive specialized in IT/Computer - Network/System/Database Admin or equivalent.",4250,SELANGOR,SELANGOR
Tech Support Intern,Mobile Arts Sdn. Bhd.,SELANGOR,Help Desk & IT Support (Information & Communication Technology),Full time,,"Company OverviewUniPin is a leading digital entertainment enabler that provides electronic pins for use in a wide array of games from various game publishers. With more than 21.4 million active users across 32 countries worldwide, UniPin is supported by a comprehensive range of payment channels.Your daily routine as our Tech Support Intern:Supporting partners on API implementation and communicate with partners through face-to-face conversation, phone, or email.Coordinating with customer service officer and technical department (internally or externally) to resolve technical issues.Understanding our products to support product enquiries from all department.Rapidly establish a good working relationship with partners.Supporting partners and internal departments professionally.Testing and evaluating on new applicants or technology that could be used internally to enhance efficiency.Testing a game or payment channel before deployment.Supporting payment Operation which includes: Troubleshooting & investigation, Monitoring of payment report, Reporting, Issue escalation & Maintaining SLA condition is met.Communications within 3rd party partner and internal IT operation team.QualificationsStudents that are able to commit anytime with at least 3 months of internship duration.Diploma or Degree in Computer Science or Information Systems or any related field.Excellent communication and written skills, in both English and Bahasa Malaysia.Proactive, eager to learn and highly motivated.",0,SELANGOR,SELANGOR
"Internship for Software Developer (PHP, Laravel, Next.js)",vimigo,KUALA LUMPUR,Developers/Programmers (Information & Communication Technology),Contract/Temp,800-1200,"Are you driven, results-oriented and a team player?vimigo holds a strong track record with technology projects and has successfully built multiple apps and maintained it for 4 years and counting, which is used by over 500 companies. Getting a great product right is tough. It involves thoughtful choices about design, deep knowledge of the market, and making use of the right technologies.Here at vimigo, we are a team of dedicated professionals with experience in bootstrapping a new product from the conception stage to supporting and actively monitoring one with mass adoption. It is in such a team that you learn the most, perform your best work, improve the fastest, and have the most fun.As an Amazon Web Service (AWS) Cloud Technology Partner for the past 4 years who is also consulting, we understand the importance of aligning our philosophy with the client’s objectives. Stringent Quality Assurance Testing (QAT) and User Acceptance Testing (UAT) among other testing practices that we do are essential to our promise of quality delivery.Our responsibilities continue beyond just developing a product. Growth and sustainability involve continuous cross-functional efforts — roadmap management, ongoing development, operational support, expert technical consulting, user acquisition, retention optimization, team-building, and more.If this is a journey you’d like to embark on, keep reading!About the Job:Understanding the client’s requirements is what the company values the most. We are here to provide and develop a meaningful solution; that is to empower our local entrepreneurs to succeed in a competitive marketplace, through cost-effective innovations and technology. You will be:Involved in the development, maintenance, and support of new/existing web applications.Work closely with external/internal team in the areas of design requirement, specification, implementation, coding, and testing.Ensure all the source codes are optimized, written and documented in compliance according to the company’s quality assurance standard.Be a part of a vibrant team that works on innovative and exciting projects!Job Requirements:Possess at least a Bachelor’s Degree, Post Graduate Diploma, Professional Degree in Computer Science/Information Technology, Engineering (Computer/Telecommunication), Science & Technology, or equivalent as per mentioned.Ability to learn and advance, attend meetups & conferences, and grow personally and within a team. Willing to work on vibrant and exciting projects, mainly enterprise solutions that include large/small scale web startups & custom web applications.We seek for someone like you, who is:Excellent in problem-solving and analytical skills.Good in understanding of Internet technology, standard and n-tier architecture, and OOP.Open minded to new solutions, forward thinking and strong ability to adapt.Have a strong passion for programming and research of new technologies.Familiar with SME businesses/entrepreneurs will be a bonus to the projects.Technologies we use:We work with proven technologies & stacks which allow us to bring value to our customers. You may expect to work with some of these technologies.Web & Back-end: PHP, Laravel, Python, WordPress, Next.jsMobile applications: Dart, Flutter.Database: PostgreSQL, MariaDB, MongoDB, Redis, MySQL.Server: Linux, Apache, Nginx.DevOps: AWS, Huawei CloudGood understanding of cloud environment, CI/CD, unit testing and validation is a bonus.Company Awards:Top 10 finalists of Create Alibaba Cloud Startup Contest 2019AWS Cloud PartnerFeatured in major media like Astro, Sinchew, The Star, Chinapress, Top10 CEOTrusted by more than 3000 SMEs all over Malaysia and expanding regionally[OPENING FOR OCTOBER 2023 ONWARDS]==========================================================Cool Perks - Best in Class BenefitsPerformance reward, health & holiday incentives, transportation allowance, gadgets allowance and MORE!Cool Office SpaceErgonomic seat and multiple monitors to ensure your workplace comfort, thinking corner with bean bags to encourage creative thinking, lounge areas and cold beverages all at your disposal to do your best work yet.Transport ConvenienceIt's always convenient to reach our office, regardless of whether you are driving, taking the bus, MRT or LRT.Learning OpportunitiesGrowth is part of our culture. We pride ourselves in giving our people the autonomy to excel in their roles and many avenues to develop their skills.FUN, FUN & FUNHappy Fridays, birthday celebrations, seasonal celebrations, monthly teamApply Now!Hey, thanks for reaching the end of this job advertisement. It shows that you are really interested in this job, let’s apply now and we are looking forward to meeting you soon!IMPORTANT NOTE: Please state your internship period in the proceeding comment box entitled ""Why hire me?""For more info:Search Facebook/Youtube/ LinkedIn: VIMIGOPhillip Choong (CTO & CEO of vimigo Technologies)Shane Mun (CEO of vimigo)Websites:sales.vimigoapp.comwww.vimigoapp.comwww.vimigotech.com",1000,KUALA LUMPUR,KUALA LUMPUR
IT Support Specialist,STAR GLORY ASIA (M) SDN. BHD.,"PUNCAK ALAM, SELANGOR",Help Desk & IT Support (Information & Communication Technology),Full time,2500-3000,"ACCOUNTABILITYUser Support:Respond promptly to user inquiries and provide technical assistance.Address and resolve user issues related to hardware, software, and applications.Offer guidance and training to users on IT-related matters.Technical Knowledge:Possess basic knowledge of Windows operating systems.Familiarity with networking concepts, protocols, and troubleshooting techniques.Ability to diagnose and resolve system issues efficiently.Networking, Server, and Domain Expertise:Demonstrate a solid understanding of networking principles.Proficient in managing and troubleshooting server-related problems.Knowledgeable about domain administration and maintenance.Retail Operations:Understand and support IT requirements specific to retail operations.Collaborate with retail teams to address and resolve technical challenges.Contribute to the optimization of IT systems in alignment with retail needs.Problem-Solving:Investigate and diagnose complex technical issues.Develop and implement effective solutions to technical problems.Proactively identify potential issues and address them before they impact operations.Documentation:Maintain accurate records of user issues and resolutions.Document troubleshooting procedures and solutions for future reference.Communication:Communicate technical information to non-technical users in a clear and understandable manner.Collaborate with cross-functional teams to ensure the smooth functioning of IT systems. EXPERIENCE & QUALIFICATIONBachelor's degree in Information Technology, Computer Science, or a related field.Proven experience in IT support or a similar role.Strong knowledge of Windows operating systems, networking, and system troubleshooting.Familiarity with server administration and domain management.Excellent communication and interpersonal skills.Ability to adapt to a dynamic and fast-paced work environment.Certifications such as CompTIA A+, Network+, or Microsoft Certified: Windows 10 are a plus.Walk users through the recommended problem-solving stepsSet up or repair computer equipment and related devicesTrain users to work with new computer hardware or software",2750,SELANGOR,SELANGOR
MIS Executive,MONEYMAX (SOUTHERN) SDN. BHD.,"JOHOR BAHRU, JOHOR",Help Desk & IT Support (Information & Communication Technology),Full time,,"Roles & ResponsibilitiesKey responsibilities include overseeing system implementation and maintenance, managing databases, analyzing data for insights, ensuring information security, providing user support, participating in system development, generating reports, ensuring data quality, managing vendors, contributing to strategic planning, and driving continuous improvement. The MIS Executive is a key liaison between technology and business needs, requiring a blend of technical expertise, analytical skills, and effective communication to successfully fulfil their role. ResponsibilitiesPerform day-to-day application support & maintenance.Maintain database and user access.Liaise with stakeholders to define project requirements.Translate business requirements and user needs into functional specifications.Collaborate with developers to ensure requirements are incorporated into system design.Work with relevant stakeholders on user acceptance testing.Support application deployment initiated by Change Requests, plan and maintain the application environment with the latest patches.Support the team in defining project requirements, tracking, functional documentation & training materials.Plan and conduct end-user training. RequirementsDiploma / Degree in Computer Science or equivalent.Minimum 1 year of experience in developing, implementing or maintaining application system.Experience in ERP application support & project management preferred.At least 1 year of relevant experience in data extraction via SQL scripts.Preferably with experience in POS or Retail industry.",0,JOHOR,JOHOR
Helpdesk Support Executive,eAuto Sdn Bhd,"PETALING JAYA, SELANGOR",Help Desk & IT Support (Information & Communication Technology),Full time,2200-2500,"JOB RESPONSIBILITIESUnderstand the core businessAttend to phone-in customers providing required supportProvide training and support to new and existing usersAssist in marketing events and activitiesManage new application and its processes, including due diligenceAssist in other administration and compliance activities. JOB REQUIREMENTSPossess 0 - 2 years’ experience in customer support and/or administrationPassionate about customers, passionate about the team, passionate about learning and delivering resultsGood interpersonal & communication skills, able to work under pressure and good multitaskerBasic computer knowledge is a requirementAble to speak and write English and Malay with Mandarin is an added advantage. ",2350,SELANGOR,SELANGOR
SOFTWARE DEVELOPER - EXECUTIVE (SHAH ALAM),City-Link Express (M) Sdn Bhd,SELANGOR,Developers/Programmers (Information & Communication Technology),Full time,,"ResponsibilitiesDemonstrated strong capability to understand and document internal and external processes and work flows.Works with immediate supervisor to learn about the organization's business environment, system issues and software development tools.Under direct supervision, assists in developing, supporting and modifying software programming applications.Analyses issues and uses judgment to make decisions.Developmental knowledge of coding, testing, supporting and debugging software.The individual will design, code, test, and debug software modules under the direction of senior staff members. QualificationsCandidate must possess at least a Bachelor's Degree of software engineering / architectureGood command in written and spoken English, Bahasa Malaysia and Mandarin is an advantage  Technical knowledge and skill requirement:Strong knowledge in web programming (.Net Framework, .Net Core, MVC, C# and PHP).Excellent written and verbal communication skills, as well as fluency and ease when communicating technical language to clients and team membersA strong sense of best coding practices, as per the WordPress CodexThe ability to write clean front-end code that’s responsive, cross-browser compatible, maintainable, scalable and built from Figma filesAble to work using WordPress Elementor plugin.Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.Familiarity with the Bootstrap frameworkA love of troubleshooting and comfort with the process of bug-huntingOn-site search engine optimization (SEO) for corporate websiteGood analytical and problem-solving skills and the ability to function well in a self-directed, team-oriented environmentMust be a team player that also can work independently, escalating issues when appropriateC#, .NET",0,SELANGOR,SELANGOR
IT ENGINEER,LEUZE ELECTRONIC MALAYSIA SDN. BHD.,MELAKA,Networks & Systems Administration (Information & Communication Technology),Full time,,"Your Tasks: Manage user life cycle and client life cycle.Perform user support, administration, and problemtroubleshooting.Install, configure, and manage hardware & software,including license management.Provide technical support to diagnose, analyze, research,and resolve computer problems in a Windowsenterprise environment.Perform system administration tasks, including operatingsystem and software updates.Manage assets and vendors. Your qualifications:Bachelor’s Degree in Computer Science/ IT relatedfieldPreferably with experience in infrastructure, digitization,scripting, Power Automate, Power Apps,Sharepoint (a plus), and PowerShell scripting.Proficiency in Microsoft Active Directory, Windows,and other Microsoft products.Excellent communication skills.Ability to work independently and in a team environment.Strong problem-solving skills, able to prioritizetasks and manage time effectively.Flexibility to adapt to changing priorities and deadlines.",0,MELAKA,MELAKA
Database System Manager,City-Link Express (M) Sdn Bhd,"SHAH ALAM, SELANGOR",Database Development & Administration (Information & Communication Technology),Full time,,"Responsibilities and Duties============================Overall responsibility for all database(s) activity. Building and being responsible for the unit's strategy and road map to achieve interpersonal business, operational and delivery goals, as well asend-to-end management of the testing, archiving, deployment daily operation, periodic housekeeping and capacity planning of the database system. The following describes the responsibilities and duties for therole as a Database System Manager that manages all database systems, including Oracle, MSSQL and MySQL infrastructure in City-Link Express Sdn Bhd.1) Taking ownership in database management, maintenance, troubleshooting activities, renewal of database core and support license2) Work with programmers, the infrastructure team, and security personnel to execute database projects according to requirements.3) Coordinate and manage database(s) activities to support application development projects.4) Provide functional and technical support to ensure the performance, operation, and stability of database systems.5) Manage database backup, restore, replication, data exporting, and importing across database systems.6) Provide database connectivity and access support throughout the organization.7) Respond to database-related queries and issues in a timely fashion.8) Monitor database activities on a daily basis to ensure the reliability and security of databases.9) Ensure that the database is properly tested and bugs are fixed appropriately.10) Optimizing the database for operational, tuning, and performance efficiency.11) Prepare documentation of all database procedures and guidelines.12) Prepare database project status reports for the immediate supervisor.13) Prepare database reports for managers as needed.Pre-requisite / Qualification==============================1) Degree in IT / Comp Science2) Minimium 6-years of daily working experiences in mix Linux (RHEL), Windows Servers environment3) Experiences in dealing with in-house development teams and end-user environment with multiple database systemApply only if meet the above pre-requisites.4) Added advantage with the latest (after 2012) Linux / Windows Server and Database Certification.",0,SELANGOR,SELANGOR
Backend Engineer,HISEVEN SDN. BHD.,KUALA LUMPUR,Developers/Programmers (Information & Communication Technology),Full time,6000-8000,"About Us:HiSeven is a dynamic and innovative technology company committed to delivering secure and user-friendly communication solutions. We are seeking a talented C++ Developer to join our team and work on improving the Telegram Desktop application, one of the most popular messaging platforms globally. JOB RESPONSIBILITIESWrite code and tests, build prototypes, resolve issues, and profile and analyze bottlenecksDesign robust APIs to support mobile and desktop clientsManage and optimize scalable distributed systems in the cloudOptimize web applications for performance and scalabilityDevelop automated tests to ensure business needs are met, and allow for regression testingIntegrating user-facing elements developed by front-end developers with server-side logicBuilding reusable code libraries for future useDesigning and implementing RESTful APIsOptimizing the performance of applications for full-scale production deploymentsProviding code documentation and other inputs to technical documentsParticipating in code reviewsTroubleshooting and debugging to optimize performance REQUIREMENTSQualification:Diploma or Bachelor degree in Computer Science or similarExperience:You are experienced with software engineering best practices such as design patterns, code reviews, unit and integration testing, etc.You have an in-depth understanding of data structures and other computer science fundamentals.You have good problem-solving skills and attention to detail. ",7000,KUALA LUMPUR,KUALA LUMPUR
Database Engineer,Global Intelligence Sdn. Bhd.,KUALA LUMPUR,Programme & Project Management (Information & Communication Technology),Full time,,"Responsibilities:Determine customer requirements, conduct feasibility study, and work on project planningProject Implementation as well as related technical supportCooperate and communicate effectively with the project manager and other project participants to provide assistance and technical supportPerform overall quality control of work and report regularly on project status Requirements:Degree in Computer Science/Information Technology or its equivalentWilling to travel overseas and possess good communication skillsSelf-starter with analytical mind and able to work with minimum supervisionGood abilities in database design and able to write Stored Procedure and SQL scriptsExperience in MS SQL Database Administration, integration of web/application servers and back-end systems is an added advantageFamiliarity with Thai language will be a plusApplicants should be Malaysian citizens or hold relevant residence status.Fresh graduates are encouraged to apply What's in it for you?Excellent benefits such as insurance, meal allowance, medical claim, health screening, vision, and dental claimStrategic location. We are located in the Brickfields area, which is within walking distance from KL Sentral LRT station.  ",0,KUALA LUMPUR,KUALA LUMPUR
